State/UT,District,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,Households_Rural,Households_Urban
jammu and kashmir,kupwara,870354.0,92052.478,13150.354000000001,77476.182,11496.869999999999,1114.848,16304.652,158438.0,23226.0
jammu and kashmir,badgam,753745.0,74380.487,6265.311,133820.617,9190.22,706.9399999999999,24579.76,160649.0,27190.0
jammu and kashmir,leh(ladakh),133487.0,19013.8,775.32,32526.519999999997,9540.804,192.21400000000003,16740.092,36920.0,17474.0
jammu and kashmir,kargil,140802.0,29591.21,1412.95,39078.159999999996,5348.512,93.288,7579.65,40370.0,7774.0
jammu and kashmir,punch,476835.0,78622.705,3171.3360000000002,18103.043,4168.437,122.152,11497.556999999999,132139.0,15269.0
jammu and kashmir,rajouri,642415.0,103721.03,5293.89,19999.14,3256.4880000000003,297.636,14969.340000000002,196070.0,17508.0
jammu and kashmir,kathua,616435.0,66564.258,6348.09,25755.108,9037.710000000001,1037.663,22460.382999999998,181374.0,33473.0
jammu and kashmir,baramula,1008039.0,97060.32299999999,11158.778999999999,156433.449,16636.88,2446.6,45262.1,210543.0,48932.0
jammu and kashmir,bandipore,392232.0,43239.777,5958.554000000001,56445.221,5442.05,754.865,16554.365,80521.0,17555.0
jammu and kashmir,srinagar,1236829.0,1734.912,284.634,4007.466,59791.272,5669.862000000001,252824.30099999998,4518.0,257721.0
jammu and kashmir,ganderbal,297446.0,30235.512,6059.86,44332.659999999996,2982.76,610.11,12378.454000000002,63788.0,13558.0
jammu and kashmir,pulwama,560440.0,63433.6,6785.92,92495.04000000001,9202.072,651.09,19771.432999999997,147520.0,21703.0
jammu and kashmir,shupiyan,266215.0,25104.512000000002,4461.344,44613.439999999995,1813.568,173.976,4997.856,75616.0,5272.0
jammu and kashmir,anantnag,1078692.0,89660.011,10560.417,105190.036,20139.809999999998,2190.646,53352.829999999994,207067.0,70666.0
jammu and kashmir,kulgam,424483.0,47016.479999999996,4509.744,40011.984000000004,10574.76,1057.476,14729.13,95952.0,25178.0
jammu and kashmir,doda,409936.0,73360.20000000001,1956.2720000000002,29344.08,2689.95,329.15,10600.900000000001,122267.0,11350.0
jammu and kashmir,ramban,283713.0,43404.715,1769.901,15002.018,1030.8129999999999,128.184,4417.007,84281.0,5341.0
jammu and kashmir,kishtwar,230696.0,37636.56,2460.852,14475.599999999999,809.055,41.951,5597.462,72378.0,5993.0
jammu and kashmir,udhampur,554985.0,66452.808,2973.28,11001.136,5898.32,624.528,26056.695999999996,148664.0,34696.0
jammu and kashmir,reasi,314667.0,52469.028,1433.58,8601.48,4843.095,134.871,9661.668,95572.0,12261.0
jammu and kashmir,jammu,1529958.0,97753.344,12473.734,62623.236,56057.718,8433.462,210588.507,254566.0,248043.0
jammu and kashmir,samba,318898.0,28745.335,3110.151,24504.22,3558.042,219.879,14132.223,94247.0,19989.0
himachal pradesh,chamba,519080.0,70830.1,4287.085,90960.76,2573.4960000000005,96.852,12037.320000000002,186395.0,13836.0
himachal pradesh,kangra,1510075.0,148845.21300000002,8236.493999999999,378878.72400000005,7411.33,624.1120000000001,32102.761,588321.0,39007.0
himachal pradesh,lahul and spiti,31564.0,5875.258000000001,139.472,13615.954,,,,17434.0,0.0
himachal pradesh,kullu,437903.0,46198.625,2015.94,91053.29000000001,3189.186,269.21700000000004,18762.354,167995.0,20709.0
himachal pradesh,mandi,999777.0,120716.12,6898.064,353525.77999999997,5483.407999999999,221.87199999999999,29160.32,431129.0,31696.0
himachal pradesh,hamirpur,454768.0,42361.056000000004,1961.16,174739.356,2619.904,91.392,14059.135999999999,196116.0,15232.0
himachal pradesh,una,521173.0,46828.023,2591.274,108833.508,4910.744,966.0479999999999,15013.995999999997,185091.0,20126.0
himachal pradesh,bilaspur,381956.0,41011.202,1981.954,104891.10399999999,2025.8029999999999,95.89600000000002,11207.845000000001,152458.0,11987.0
himachal pradesh,solan,580320.0,47232.814999999995,3662.9529999999995,133023.03,9632.183,721.126,46255.082,192787.0,51509.0
himachal pradesh,sirmaur,529855.0,52870.518,4790.856,97357.038,4147.638,210.54,20232.893999999997,171102.0,21054.0
himachal pradesh,shimla,814010.0,68141.636,6423.187,167002.862,17357.176000000003,1246.6480000000001,86977.672,279269.0,95896.0
himachal pradesh,kinnaur,84121.0,13042.602,445.14,30803.688000000002,,,,44514.0,0.0
punjab,gurdaspur,2298323.0,207904.84000000003,37877.4,210850.86000000002,76235.56800000001,9645.376,158777.728,420860.0,185488.0
punjab,kapurthala,815168.0,68489.26199999999,10091.412999999999,128045.142,30646.4,3926.5699999999997,90119.56999999999,165433.0,95770.0
punjab,jalandhar,2193590.0,154268.313,20481.018,251057.63999999998,143938.371,18133.967999999997,361923.778,330339.0,377791.0
punjab,hoshiarpur,1586625.0,173295.93,27473.744999999995,240923.61,44107.056,6301.008000000001,114318.28800000002,422673.0,128592.0
punjab,shahid bhagat singh nagar,612310.0,73450.368,9891.072,122356.224,17417.88,3144.895,41173.933,183168.0,48383.0
punjab,fatehgarh sahib,600163.0,45965.568999999996,7523.776,96986.17499999999,20239.961,2580.165,53839.44300000001,117559.0,57337.0
punjab,ludhiana,3498739.0,178159.432,28047.272,345653.0,262491.701,31447.661000000004,621893.5410000001,395032.0,641789.0
punjab,moga,995746.0,96861.34,15857.83,183007.93,25802.112,4967.648,70214.368,214295.0,74144.0
punjab,firozpur,2029074.0,177397.69799999997,37640.376000000004,232115.65199999997,63239.74800000001,10924.628,139558.276,348522.0,153868.0
punjab,muktsar,901896.0,78939.696,15997.248999999998,108093.56099999999,30083.949999999997,6793.15,67035.7,149507.0,74650.0
punjab,faridkot,617508.0,48973.54,7695.842000000001,80056.746,23802.467999999997,4772.276999999999,54674.975999999995,99946.0,58917.0
punjab,bathinda,1388525.0,111479.24900000001,16143.766000000001,183908.037,44570.412000000004,7428.402000000001,128071.153,218159.0,137563.0
punjab,mansa,769751.0,67705.395,10483.416,91584.287,17318.026,2996.3740000000003,43168.1,145603.0,50786.0
punjab,patiala,1895686.0,143653.91999999998,21248.808999999997,231342.667,70224.98000000001,9159.78,211329.21000000002,299279.0,218090.0
punjab,amritsar,2490656.0,152063.304,21487.206,167490.016,163827.30000000002,20815.704,360034.58400000003,275477.0,385476.0
punjab,tarn taran,1119627.0,124053.369,18040.077,144320.616,19383.252,3156.4469999999997,38988.789,222717.0,44457.0
punjab,rupnagar,684627.0,52745.672,8889.72,84304.17799999999,16708.212,3026.85,55512.429000000004,148162.0,60537.0
punjab,sahibzada ajit singh nagar,994628.0,50670.57600000001,8562.389000000001,71196.85100000001,41247.954,6613.596,160814.80800000002,117293.0,174042.0
punjab,sangrur,1655169.0,133515.29200000002,17821.516,229634.61599999998,53935.072,7369.036000000001,144244.96000000002,292156.0,156788.0
punjab,barnala,595527.0,50980.769,6667.505,82266.754,22231.02,3199.0980000000004,48908.244000000006,102577.0,54222.0
chandigarh,chandigarh,1055450.0,4179.259,249.50799999999998,7841.68,76995.296,10130.96,253563.45599999998,8911.0,289456.0
uttarakhand,uttarkashi,330086.0,30279.96,3364.44,44298.46,1440.699,72.488,8290.815,112148.0,9061.0
uttarakhand,chamoli,391605.0,42983.142,4085.85,76813.98,2657.096,206.154,20042.75,163434.0,22906.0
uttarakhand,rudraprayag,242285.0,22315.59,2141.395,57479.549999999996,432.03799999999995,13.362,4079.8639999999996,112705.0,4454.0
uttarakhand,tehri garhwal,618931.0,62668.28400000001,6357.652,113756.55900000001,2880.7619999999997,190.23899999999998,26062.743,227059.0,27177.0
